contestant_1,contestant_1_score,contestant_2,contestant_2_score,contestant_3,contestant_3_score,contestant_4,contestant_4_score,contestant_5,contestant_5_score,date,raw_scores,series,title
,,,,,,,,,,Thursday 11th September 2003,,a,1. Adam
Rich Hall and Jeremy Hardy,20.0,Bill Bailey,5.0,Alan Davies,-30.0,,,,,Thursday 18th September 2003,,a,2. Astronomy
Clive Anderson,26.0,Meera Syal,19.0,Bill Bailey,10.0,Alan Davies,-20.0,,,Thursday 25th September 2003,,a,3. Aquatic Animals
,,,,,,,,,,Thursday 2nd October 2003,,a,4. Atoms
Gyles Brandreth,54.0,Rich Hall,35.0,Rob Brydon,17.0,Alan Davies,15.0,,,Thursday 9th October 2003,,a,5. Advertising
Danny Baker,19.0,Howard Goodall,17.0,Jo Brand,13.0,Alan Davies,8.0,,,Thursday 16th October 2003,,a,6. Antidotes
Jackie Clune,5.0,Alan Davies,0.0,Jimmy Carr,-1.0,Jo Brand,-38.0,,,Thursday 23rd October 2003,,a,7. Arthropods
Clive Anderson,37.0,Linda Smith,30.0,Sean Lock,25.0,Alan Davies,-30.0,,,Thursday 30th October 2003,,a,8. Albania
Dave Gorman,20.0,Jo Brand and Jeremy Hardy,15.0,Alan Davies,10.0,,,,,Thursday 6th November 2003,,a,9. Antelopes
Alan Davies  (First victory),23.0,Julia Morris,9.0,Rich Hall,3.0,Peter Serafinowicz,-5.0,,,Thursday 13th November 2003,,a,10. Aviation
Richard E. Grant,12.0,Linda Smith,5.0,Bill Bailey,-2.0,Alan Davies,-18.0,,,Thursday 20th November 2003,,a,11. Arts
John Sessions,28.0,Sean Lock,7.0,Phill Jupitus,5.0,Alan Davies,-6.0,,,Tuesday 23rd December 2003,,a,Christmas Special: Advent
Sean Lock,17.0,Bill Bailey,7.0,Jo Brand,-20.0,Alan Davies,-22.0,,,Friday 8th October 2004,,b,1. Blue
Rich Hall,3.0,Phil Kay,1.0,Jo Brand,-8.0,Alan Davies,-40.0,,,Friday 8th October 2004,,b,2. Birds
Phill Jupitus,4.0,Rich Hall,2.0,Clive Anderson,1.0,Alan Davies,-4.0,,,Friday 15th October 2004,,b,3. Bombs
,,,,,,,,,,Friday 22nd October 2004,,b,4. Bible
Jimmy Carr,15.0,Bill Bailey,8.0,Jo Brand,-5.0,Alan Davies,-35.0,,,Friday 29th October 2004,,b,5. Bears
Anneka Rice,7.0,Bill Bailey,6.0,Sean Lock and Alan Davies,-18.0,,,,,Friday 5th November 2004,,b,6. Beavers
Dara O'Briain  (Points for his incorrect triple point answer were taken away from him in his next appearance),4.0,Rich Hall,2.0,Arthur Smith,-18.0,Alan Davies,-20.0,,,Friday 12th November 2004,,b,7. Biscuits
Rich Hall,5.0,Fred MacAulay,4.0,Jo Brand,-8.0,Alan Davies,-19.0,,,Friday 19th November 2004,,b,8. Bees
Rich Hall and Josie Lawrence,4.0,John Sessions,-14.0,Alan Davies,-72.0,,,,,Friday 26th November 2004,,b,9. Bats
Clive Anderson,1.0,Phil Kay,0.0,John Sessions,-10.0,Alan Davies,-26.0,,,Friday 3rd December 2004,,b,10. Bills
Linda Smith,2.0,Mark Gatiss,-4.0,Sean Lock,-8.0,Alan Davies,-13.0,,,Friday 10th December 2004,,b,11. Beats
,,,,,,,,,,Friday 17th December 2004,,b,Christmas Special: Birth
Rich Hall,8.0,Bill Bailey,-5.0,Rob Brydon,-16.0,Alan Davies,-25.0,,,Friday 30th September 2005,,c,1. Campanology
Andy Hamilton,5.0,Doon Mackichan,-2.0,Alan Davies,-4.0,Arthur Smith,-6.0,,,Friday 30th September 2005,,c,2. Cummingtonite
Rory McGrath,88.0,Sean Lock,0.0,Alan Davies,-9.0,Jimmy Carr,-12.0,,,Friday 7th October 2005,,c,3. Common Knowledge
Alexander Armstrong,93.0,Jeremy Clarkson,0.0,John Sessions,-10.0,Alan Davies,-52.0,,,Friday 14th October 2005,,c,4. Cheating
Sean Lock,12.0,Rich Hall,3.0,Alan Davies,-18.0,Jo Brand,-28.0,,,Friday 21st October 2005,,c,5. Cat's Eyes
Bill Bailey,3.0,Rory McGrath,-1.0,Phill Jupitus,-12.0,Alan Davies,-19.0,,,Friday 28th October 2005,,c,6. Cockneys
Jeremy Clarkson,5.0,Sean Lock,3.0,Rich Hall,2.0,Alan Davies,-18.0,,,Friday 4th November 2005,,c,7. Constellations
David Mitchell,0.0,Bill Bailey,-8.0,Phill Jupitus,-9.0,Alan Davies,-40.0,,,Friday 11th November 2005,,c,8. Corby
Helen Atkinson-Wood  (Current record),200.0,Andy Hamilton,22.0,Alan Davies,15.0,Bill Bailey,-20.0,,,Friday 18th November 2005,,c,9. Creatures
Mark Steel,2.0,John Sessions,-16.0,Clive Anderson,-28.0,Alan Davies,-84.0,,,Friday 25th November 2005,,c,10. Cleve Crudgington
Clive Anderson,0.0,Jo Brand and Phill Jupitus,-23.0,Alan Davies,-26.0,,,,,Friday 2nd December 2005,,c,11. Carnival
Bill Bailey,3.0,Dara O'Briain,-8.0,Phill Jupitus,-18.0,Alan Davies,-47.0,,,Friday 9th December 2005,,c,12. Combustion
Jo Brand,7.0,Sean Lock,4.0,Jimmy Carr,0.0,Alan Davies,-19.0,,,Friday 29th September 2006,,d,1. Danger
Vic Reeves,16.0,Alan Davies,0.0,Clive Anderson,-7.0,Arthur Smith,-23.0,,,Friday 29th September 2006,,d,2. Discoveries
Neil Mullarkey,5.0,Liza Tarbuck,-8.0,Jeremy Clarkson,-13.0,Alan Davies,-36.0,,,Friday 6th October 2006,,d,3. Dogs
Ronni Ancona .,13.0,"Rory Bremner, Phill Jupitus and Alan Davies .",-7.0,,,,,,,Friday 13th October 2006,,d,4. Dictionaries
The Audience  (First victory),2.0,Andy Parsons,0.0,Sean Lock,-8.0,Alan Davies,-15.0,Clive Anderson,-24.0,Friday 20th October 2006,,d,Special: Death
Alan Davies  (Second victory),10.0,Jimmy Carr,2.0,John Sessions,-3.0,Phill Jupitus,-15.0,,,Friday 27th October 2006,,d,6. Drinks
Dara O'Briain,3.0,Julian Clary,-8.0,Jo Brand,-16.0,Alan Davies  (Current lowest score),-144.0,,,Friday 3rd November 2006,,d,7. Differences
,,,,,,,,,,Friday 10th November 2006,No scores found,d,Children In Need Special: Descendants
Alan Davies  (Third victory),54.0,John Sessions,-4.0,Andy Hamilton,-8.0,David Mitchell,-9.0,,,Friday 17th November 2006,,d,9. Doves
Graeme Garden,7.0,Phill Jupitus,6.0,Johnny Vaughan,-19.0,Alan Davies,-70.0,,,Friday 24th November 2006,,d,10. Divination
Vic Reeves and Roger McGough,1.0,Mark Steel,-6.0,Alan Davies,-39.0,,,,,Friday 1st December 2006,,d,11. Denial And Deprivation
Jessica Stevenson,-3.0,Phill Jupitus,-4.0,Jo Brand,-18.0,Alan Davies,-64.0,,,Friday 8th December 2006,,d,12. Domesticity
Dara O'Briain,2.0,Rich Hall,-9.0,Jo Brand,-17.0,Alan Davies,-53.0,,,Friday 15th December 2006,,d,Christmas Special: December
Rob Brydon,11.0,Alan Davies,4.0,Jimmy Carr,-2.0,Bill Bailey,-18.0,,,Friday 21st September 2007,,e,1. Engineering
Jo Brand,10.0,Rich Hall,1.0,Sean Lock,-12.0,Alan Davies,-21.0,,,Friday 21st September 2007,,e,2. Electricity
Alan Davies  (Fourth victory),-2.0,Johnny Vegas,-3.0,Jimmy Carr,-6.0,Phill Jupitus,-21.0,,,Friday 28th September 2007,,e,3. Eating
Rich Hall,8.0,Bill Bailey,3.0,Alan Davies,-8.0,Sean Lock,-16.0,,,Friday 5th October 2007,,e,4. Exploration
Phill Jupitus,-5.0,David Mitchell,-7.0,Alan Davies,-26.0,Dara O'Briain,-27.0,The Audience,-100.0,Friday 12th October 2007,,e,5. Europe
Vic Reeves,-6.0,Alan Davies,-24.0,Clive Anderson,-25.0,Jeremy Clarkson,-30.0,,,Friday 19th October 2007,,e,"6. Everything, Etc."
Clive Anderson and Vic Reeves,5.0,Jo Brand,4.0,Alan Davies,-8.0,,,,,Friday 26th October 2007,,e,7. Espionage
Alan Davies  (Fifth victory),13.0,Phill Jupitus,3.0,Jimmy Carr,-10.0,David Mitchell,-11.0,,,Friday 2nd November 2007,,e,8. Eyes And Ears
Jeremy Clarkson,4.0,Jo Brand,2.0,Alan Davies and Bill Bailey,-6.0,,,,,Friday 9th November 2007,,e,Children In Need Special: Entertainment
The Audience  (Second victory),10.0,Phill Jupitus,-8.0,Charlie Higson,-15.0,Sean Lock,-29.0,Alan Davies,-59.0,Friday 16th November 2007,,e,10. England
Jimmy Carr and Dara O'Briain,5.0,Alan Davies and Doon Mackichan,-17.0,,,,,,,Friday 23rd November 2007,,e,11. Endings
Alan Davies  (Sixth victory),10.0,Bill Bailey,8.0,Sean Lock,-8.0,Jo Brand,-33.0,,,Friday 7th December 2007,,e,Christmas Special: Empire
,,,,,,,,,,Friday 14th December 2007,No scores found,e,Out-takes: Elephants
,,,,,,,,,,Friday 14th November 2008,,f,Children In Need Special: Families
Clive Anderson,8.0,Alan Davies,-6.0,Rob Brydon,-8.0,Dom Joly,-16.0,,,Monday 22nd December 2008,,f,Christmas Special: Fire And Freezing
Charlie Higson,8.0,Rob Brydon,-8.0,Andy Hamilton,-15.0,Alan Davies,-19.0,,,Friday 9th January 2009,,f,3. Flotsam And Jetsam
Pam Ayres  (But not read out,8.0,Johnny Vegas,1.0,Alan Davies,-11.0,Sean Lock,-12.0,,,Friday 16th January 2009,- Pam Ayres: 8 points (But not read out - see notes)- Johnny Vegas: 1 point- Alan Davies: -11 points- Sean Lock: -12 points,f,4. Fight Or Flight
Hugh Dennis,15.0,Jo Brand,8.0,Phill Jupitus,-2.0,Alan Davies,-39.0,,,Friday 23rd January 2009,,f,5. France
Sean Lock,-16.0,Jimmy Carr,-18.0,Alan Davies,-21.0,Marcus Brigstocke,-26.0,,,Friday 30th January 2009,,f,6. Fakes And Frauds
Phill Jupitus,-24.0,Jo Brand,-26.0,Dara O'Briain,-28.0,Alan Davies,-42.0,,,Friday 6th February 2009,,f,7. Fingers And Fumbs
Rich Hall,4.0,Clive Anderson,-5.0,Reginald D. Hunter,-6.0,Alan Davies,-35.0,,,Friday 13th February 2009,,f,8. Fashion
Ben Miller,14.0,Sean Lock,7.0,Rob Brydon,-31.0,Alan Davies,-60.0,,,Friday 20th February 2009,,f,9. The Future
The Audience  (Third victory),10.0,Jimmy Carr,-1.0,John Sergeant,-4.0,Alan Davies,-18.0,Jo Brand,-27.0,Friday 27th February 2009,,f,10. Flora And Fauna
Alan Davies  (Seventh victory),4.0,John Sessions,1.0,Emma Thompson,-10.0,David Mitchell,-15.0,,,Friday 6th March 2009,,f,11. Film
David Mitchell,10.0,Rich Hall,-2.0,Alan Davies,-12.0,Jimmy Carr,-46.0,,,Friday 20th March 2009,,f,12. Food
David Mitchell and Dara O'Briain,3.0,Rob Brydon,-6.0,Alan Davies,-8.0,,,,,Thursday 26th November 2009,,g,1. Gardens
Sandi Toksvig,-3.0,Alan Davies,-4.0,Bill Bailey and Sean Lock,-7.0,,,,,Thursday 3rd December 2009,- John Hodgman: Score not given- Sandi Toksvig: -3 points- Alan Davies: -4 points- Bill Bailey and Sean Lock: -7 points,g,2. Ganimals
Liza Tarbuck,5.0,Phill Jupitus,2.0,Sean Lock,-7.0,Alan Davies,-17.0,,,Thursday 10th December 2009,,g,3. Games
Alan Davies  (Eight victory),-7.0,Jo Brand,-10.0,Jimmy Carr,-21.0,Rob Brydon,-28.0,,,Thursday 17th December 2009,,g,4. Geography
Alan Davies  (Ninth victory),5.0,David Tennant,-4.0,Bill Bailey,-6.0,Lee Mack,-29.0,,,Thursday 24th December 2009,,g,Christmas Special: Groovy
Alan Davies  (Tenth victory),4.0,Dara O'Briain,-7.0,David Mitchell,-8.0,Graham Norton,-19.0,,,Friday 1st January 2010,,g,6. Genius
The Girls  (Sandi Toksvig with 5 and Ronni Ancona with 3),8.0,The Boys  (Individual scores not mentioned),-5.0,,,,,,,Friday 8th January 2010,,g,7. Girls And Boys
Jo Brand,-6.0,Rob Brydon,-7.0,Alan Davies,-36.0,Sean Lock,-76.0,,,Friday 15th January 2010,,g,8. Germany
Hugh Dennis,4.0,Andy Hamilton,2.0,Phill Jupitus,-14.0,Alan Davies,-56.0,,,Friday 22nd January 2010,,g,9. Gallimaufrey
David Mitchell,4.0,Alan Davies,2.0,Sean Lock,-6.0,Barack Obama,-10.0,Jo Brand,-46.0,Friday 29th January 2010,,g,10. Greats
Jan Ravens,6.0,Jimmy Carr,-7.0,Clive Anderson,-14.0,Alan Davies,-18.0,,,Friday 5th February 2010,,g,11. Gifts
Rich Hall and Alan Davies  (Alan's eleventh victory and first joint victory),3.0,Bill Bailey,-8.0,Barry Humphries,-36.0,,,,,Friday 12th February 2010,,g,12. Gravity
Alan Davies and Jack Dee  (Alan's twelfth victory and his second joint victory),-17.0,Sue Perkins,-26.0,Jimmy Carr,-28.0,,,,,Friday 19th February 2010,,g,13. Gothic
The Audience  (Fourth victory),10.0,Clive Anderson,3.0,Rich Hall,2.0,Phill Jupitus,-5.0,Alan Davies,-47.0,Friday 5th March 2010,,g,14. Greeks
Bill Bailey,-5.0,Alan Davies,-7.0,Danny Baker,-13.0,Jeremy Clarkson,-27.0,,,Friday 26th March 2010,,g,15. Green
Alan Davies  (Alan's thirteenth victory),21.0,David Mitchell,4.0,Rob Brydon and Johnny Vegas,2.0,,,,,Friday 2nd April 2010,,g,16. Geometry
,,,,,,,,,,Monday 5th April 2010,No scores found,g,Highlights Special: QI VG: Compilation Show 1
,,,,,,,,,,Friday 16th April 2010,No scores found,g,Highlights Special: QI VG: Compilation Show 2
Jack Dee,2.0,Ross Noble,-6.0,Alan Davies,-8.0,,10.0,,,Friday 17th September 2010,- Jack Dee: 2 points- Ross Noble: -6 points- Alan Davies: -8 points- Phill Jupitus: - 10 points,h,1. Hodge Podge
Gyles Brandreth and Sue Perkins,-8.0,Bill Bailey,-12.0,Alan Davies,-25.0,,,,,Friday 24th September 2010,,h,2. Hanatomy
Sean Lock,-1.0,David Mitchell,-13.0,Danny Baker,-14.0,Alan Davies,-38.0,,,Friday 1st October 2010,,h,3. Hoaxes
Jo Brand,4.0,Alan Davies,3.0,Jack Dee,-2.0,Jimmy Carr,-3.0,,,Friday 8th October 2010,,h,4. Humans
Ross Noble,7.0,Sean Lock,-5.0,Alan Davies,-6.0,Ruby Wax,-36.0,,,Friday 15th October 2010,,h,5. Hanimals
Phill Jupitus,4.0,Rich Hall,1.0,Andy Hamilton,-15.0,Alan Davies,-35.0,,,Friday 22nd October 2010,,h,6. Happiness
Dara O'Briain,2.0,Chris Addison -13.,8.0,Sean Lock,-33.0,Alan Davies,-35.0,,,Friday 29th October 2010,,h,Special: Horrible
Sandi Toksvig,2.0,John Lloyd,-1.0,Johnny Vegas,-7.0,Alan Davies,-27.0,,,Friday 5th November 2010,,h,8. Hypothetical
Bill Bailey,3.0,Eddie Izzard,-16.0,Danny Baker,-17.0,Alan Davies,-19.0,,,Friday 12th November 2010,,h,9. House And Home
David Mitchell,6.0,Ross Noble,2.0,Jeremy Clarkson,-4.0,Alan Davies,-6.0,,,Friday 26th November 2010,,h,10. Health And Safety
Fred MacAulay,8.0,Sandi Toksvig,6.0,Rob Brydon,1.0,Alan Davies,-39.0,,,Friday 3rd December 2010,,h,11. Highs And Lows
Clare Balding,5.0,Dara O'Briain,4.0,Alan Davies,-6.0,Jimmy Carr,-13.0,,,Friday 10th December 2010,,h,12. Horses And Hunting
Rob Brydon,7.0,Rich Hall,-5.0,Bill Bailey,-22.0,Alan Davies,-28.0,,,Friday 17th December 2010,,h,13. Holidays
Daniel Radcliffe,10.0,Graham Norton,4.0,Lee Mack,-18.0,Alan Davies,-19.0,,,Friday 24th December 2010,,h,Christmas Special: Hocus Pocus
Phill Jupitus,-2.0,Alan Davies,-8.0,Ronni Ancona,-17.0,Robert Webb,-32.0,,,Friday 7th January 2011,,h,"15. Hypnotism, Hallucinations And Hysteria"
Rob Brydon,2.0,David Mitchell,-4.0,Sandi Toksvig,-27.0,Alan Davies,-29.0,,,Friday 14th January 2011,,h,16. History
,,,,,,,,,,Monday 25th April 2011,No scores found,h,Highlights Special: QI VG: Compilation Show 3
,,,,,,,,,,Monday 2nd May 2011,No scores found,h,Highlights Special: QI VG: Compilation Show 4
